       0.503352127900E+01       0.153820894100E+01      -0.162775862202E+04
       0.508352127900E+01       0.153820894100E+01      -0.162777194518E+04
       0.513352127900E+01       0.153820894100E+01      -0.162777942692E+04
       0.518352127900E+01       0.153820894100E+01      -0.162778166917E+04
       0.523352127900E+01       0.153820894100E+01      -0.162777920802E+04
       0.503352127900E+01       0.155820894100E+01      -0.162776703116E+04
       0.508352127900E+01       0.155820894100E+01      -0.162777754782E+04
       0.513352127900E+01       0.155820894100E+01      -0.162778245971E+04
       0.518352127900E+01       0.155820894100E+01      -0.162778232729E+04
       0.523352127900E+01       0.155820894100E+01      -0.162777771171E+04
       0.503352127900E+01       0.157820894100E+01      -0.162777301517E+04
       0.508352127900E+01       0.157820894100E+01      -0.162778092186E+04
       0.513352127900E+01       0.157820894100E+01      -0.162778343555E+04
       0.518352127900E+01       0.157820894100E+01      -0.162778111718E+04
       0.523352127900E+01       0.157820894100E+01      -0.162777451272E+04
       0.503352127900E+01       0.159820894100E+01      -0.162777677422E+04
       0.508352127900E+01       0.159820894100E+01      -0.162778224925E+04
       0.513352127900E+01       0.159820894100E+01      -0.162778254795E+04
       0.518352127900E+01       0.159820894100E+01      -0.162777823239E+04
       0.523352127900E+01       0.159820894100E+01      -0.162776977963E+04
       0.503352127900E+01       0.161820894100E+01      -0.162777848799E+04
       0.508352127900E+01       0.161820894100E+01      -0.162778172833E+04
       0.513352127900E+01       0.161820894100E+01      -0.162777999129E+04
       0.518352127900E+01       0.161820894100E+01      -0.162777381133E+04
       0.523352127900E+01       0.161820894100E+01      -0.162776368793E+04
